NodeID,Name,Race,Gender
10690,Florian Henckel von Donnersmarck,White,Male
2499,Pece Dingo,,
2502,Frank Darabont,White,Male
2507,Dean Wright,,
2515,Julian Jarrold,,
10711,Ken Loach,White,Male
2520,Dinesh D'Souza,Asian/Indian,Male
2525,Mark Illsley,,
10718,Matthew Hastings,,
2530,Bob Odenkirk,White,Male
10724,Robert Lorenz,,
2535,Michael Winterbottom,White,Male
2539,Jon Lucas,,
2543,Robert Mulligan,White,Male
2548,H.M. Coakley,,
10743,Malcolm Goodwin,,
2555,Thomas Vinterberg,White,Male
2559,Ben Affleck,White,Male
2561,David Twohy,White,Male
2565,Bob Rafelson,White,Male
2570,Brian Trenchard-Smith,,
2578,Ken Annakin,White,Male
2582,Alejandro Monteverde,,
2590,Mary Lambert,,
10783,Karey Kirkpatrick,,
2594,Goran Dukic,,
10788,Angelo Pizzo,,
2599,Thorbj--rn Christoffersen,,
10793,Ivan Kavanagh,,
2603,Scott Marshall,,
2605,Rawson Marshall Thurber,,
10798,Ruba Nadda,,
2610,Morgan Spurlock,White,Male
2615,Vincent Gallo,White,Male
2619,Doug Atchison,,
10812,Danny Leiner,,
10814,Jim Sonzero,,
2623,Tony Kaye,,
2626,Lee Toland Krieger,,
10823,Neil Mcenery-West,,
2632,Mike Figgis,White,Male
10826,Tim Heidecker,White,Male
2637,Jake Goldberger,,
10831,Kundan Shah,,
2642,Ti West,White,Male
2647,--ric Tessier,,
2651,Michael Cohn,,
10844,Ben Lewin,,
10846,Rodman Flender,White,Male
2657,Kerry Conran,,
2661,Wayne Kramer,,
10854,Frank Borzage,White,Male
2663,Ryan Murphy,White,Male
10856,Gregory Poirier,,
2668,Amy Heckerling,White,Female
10862,Adam Goldberg,White,Male
2671,Don Mancini,,
2674,Hironobu Sakaguchi,Asian,Male
10870,Ethan Maniquis,,
2683,Steven Spielberg,White,Male
10876,James Mottern,,
2688,Terrence Malick,White,Male
2693,Joel Paul Reisig,,
2698,Chuan Lu,,
2701,Kevin Munroe,,
10895,Kenneth Johnson,,
2706,Jean-Marie Poir--,,
10905,James Nunn,,
2714,Rita Merson,,
2717,Clay Kaytis,,
10913,Jeff Schaffer,,
2722,Carol Reed,White,Male
10916,Scott Ziehl,,
12742,Lee Unkrich,,
2727,Julian Gilbey,,
10921,Anthony C. Ferrante,,
2732,Robert Greenwald,White,Male
10927,Daryl Wein,,
2737,Siddharth Anand,,
